Date,Level
1871,11.1
1872,12.07
1873,11.82
1874,10.13
1875,10.05
1876,12.62
1877,12.6
1878,10.8
1879,11.34
1880,13.13
1881,12.74
1882,13.48
1883,13.59
1884,13.2
1885,13.82
1886,18.91
1887,16.78
1888,15.1
1889,19.9
1890,17.98
1891,16.45
1892,16.09
1893,15.55
1894,17.16
1895,25.37
1896,17.31
1897,19.33
1898,15.58
1899,16.85
1900,12.71
1901,14.68
1902,15.9
1903,13.61
1904,12.68
1905,16.69
1906,14.57
1907,12.72
1908,10.49
1909,15.23
1910,13.31
1911,12.91
1912,15.22
1913,13.4
1914,13.48
1915,13.6
1916,9.99
1917,6.34
1918,5.74
1919,7.97
1920,9.61
1921,9.39
1922,22.58
1923,12.46
1924,9.05
1925,11.06
1926,10.13
1927,10.9
1928,15.47
1929,17.77
1930,13.94
1931,17.0
1932,13.99
1933,17.19
1934,23.73
1935,16.25
1936,17.87
1937,16.75
1938,10.5
1939,18.84
1940,13.23
1941,10.02
1942,7.97
1943,9.67
1944,12.65
1945,14.35
1946,19.17
1947,13.46
1948,9.02
1949,6.62
1950,7.22
1951,7.48
1952,9.97
1953,10.86
1954,10.09
1955,12.56
1956,12.12
1957,13.34
1958,12.49
1959,18.77
1960,17.12
1961,18.6
1962,21.25
1963,17.66
1964,18.77
1965,18.75
1966,17.81
1967,15.31
1968,17.71
1969,17.65
1970,15.76
1971,18.12
1972,18.01
1973,18.09
1974,11.68
1975,8.3
1976,11.82
1977,10.41
1978,8.28
1979,7.88
1980,7.39
1981,9.02
1982,7.73
1983,11.48
1984,11.52
1985,10.36
1986,14.28
1987,18.01
1988,14.02
1989,11.82
1990,15.13
1991,15.35
1992,25.93
1993,22.5
1994,21.34
1995,14.89
1996,18.08
1997,19.53
1998,24.29
1999,32.92
2000,29.04
2001,27.55
2002,46.17
2003,31.43
2004,22.73
2005,19.99
2006,18.07
2007,17.36
2008,21.46
2009,70.91
2010,20.7
2011,16.3
2012,14.87
2013,17.03
2014,18.15
2015,20.02
2016,22.18
2017,23.59
2018,24.97
2019,19.45
