"Data" "FTSE100" "FTSE Mid" "FTSE Small"
"2011-12-29" 5566.8 10056.3 2737.38
"2011-12-28" 5507.4 10013.2 2730.29
"2011-12-23" 5512.7 9984.16 2725.97
"2011-12-22" 5457 9903.56 2715.62
"2011-12-21" 5389.7 9843.04 2704.56
"2011-12-20" 5419.6 9868.44 2689.78
"2011-12-19" 5365 9748.44 2679.45
"2011-12-16" 5387.3 9803.17 2688.25
"2011-12-15" 5400.9 9827.28 2711.71
"2011-12-14" 5366.8 9744.23 2727.4
"2011-12-13" 5490.1 9961.04 2717.41
"2011-12-12" 5427.9 9901.15 2718.34
"2011-12-09" 5529.2 10130.6 2744.95
"2011-12-08" 5483.8 10086.1 2751.2
"2011-12-07" 5546.9 10280.2 2778.06
"2011-12-06" 5568.7 10312.3 2771.22
"2011-12-05" 5568 10368.3 2768.06
"2011-12-02" 5552.3 10307.3 2764.62
"2011-12-01" 5489.3 10203.8 2742.57
"2011-11-30" 5505.4 10315.3 2752.78
"2011-11-29" 5337 10031.6 2718.84
"2011-11-28" 5312.8 9908.46 2706.75
"2011-11-25" 5164.6 9640.29 2677.55
"2011-11-24" 5127.6 9601.89 2677.22
"2011-11-23" 5139.8 9568.78 2670.93
"2011-11-22" 5206.8 9703.13 2715.26
"2011-11-21" 5222.6 9767.88 2722.11
"2011-11-18" 5362.9 10044.4 2765.88
"2011-11-17" 5423.1 10150.3 2782.26
"2011-11-16" 5509 10275.6 2797.21
"2011-11-15" 5517.4 10260.1 2803.11
"2011-11-14" 5519 10347.8 2816.47
"2011-11-11" 5545.4 10389.3 2801
"2011-11-10" 5444.8 10187.4 2787.91
"2011-11-09" 5460.4 10268.9 2809.32
"2011-11-08" 5567.3 10419.3 2838.21
"2011-11-07" 5510.8 10302.2 2830.12
"2011-11-04" 5527.2 10387.8 2843.25
"2011-11-03" 5545.6 10406.7 2832.26
"2011-11-02" 5484.1 10251.7 2844.13
"2011-11-01" 5421.6 10167.6 2827.85
"2011-10-31" 5544.2 10479.7 2858.22
"2011-10-28" 5702.2 10773.1 2900.25
"2011-10-27" 5713.8 10733.3 2884.7
"2011-10-26" 5553.2 10422.4 2823.6
"2011-10-25" 5525.5 10428.4 2815.89
"2011-10-24" 5548.1 10469.1 2823.78
"2011-10-21" 5488.6 10265.5 2801.02
"2011-10-20" 5384.7 10111.1 2774.75
"2011-10-19" 5450.5 10231.8 2808.28
"2011-10-18" 5410.4 10178.9 2801.03
"2011-10-17" 5436.7 10250.4 2832.73
"2011-10-14" 5466.4 10338.5 2824.32
"2011-10-13" 5403.4 10230.5 2802.05
"2011-10-12" 5441.8 10320 2821.14
"2011-10-11" 5395.7 10155.1 2801.03
"2011-10-10" 5399 10140.8 2794.62
"2011-10-07" 5303.4 9957.98 2763.7
"2011-10-06" 5291.3 9888.56 2768.15
"2011-10-05" 5102.2 9567.84 2727.14
"2011-10-04" 4944.4 9425.93 2709.7
"2011-10-03" 5075.5 9750.56 2790.36
"2011-09-30" 5128.5 9819.38 2805.3
"2011-09-29" 5196.8 9985.45 2818.89
"2011-09-28" 5217.6 10038.7 2829.57
"2011-09-27" 5294 10127.1 2842.63
"2011-09-26" 5089.4 9839.24 2785.84
"2011-09-23" 5066.8 9815.5 2795.79
"2011-09-22" 5041.6 9888.26 2822.12
"2011-09-21" 5288.4 10266 2899.23
"2011-09-20" 5363.7 10308.6 2915.67
"2011-09-19" 5259.6 10229 2895.97
"2011-09-16" 5368.4 10428.2 2932.85
"2011-09-15" 5337.5 10324.1 2930.4
"2011-09-14" 5227 10107.9 2890.61
"2011-09-13" 5174.3 10011 2889.43
"2011-09-12" 5129.6 9983.75 2873.25
"2011-09-09" 5214.6 10151.4 2930.63
"2011-09-08" 5340.4 10365 2959.82
"2011-09-07" 5318.6 10321.3 2956.58
"2011-09-06" 5156.8 10071.2 2925.33
"2011-09-05" 5102.6 10084.1 2942.42
"2011-09-02" 5292 10381 2984.47
"2011-09-01" 5418.6 10576.8 3011.07
"2011-08-31" 5394.5 10525.9 3022.22
"2011-08-30" 5268.7 10243.2 2951.14
"2011-08-26" 5129.9 9997.1 2909.83
"2011-08-25" 5131.1 10021.4 2925.6
"2011-08-24" 5205.9 10041.6 2937.42
"2011-08-23" 5129.4 9922.1 2925.51
"2011-08-22" 5095.3 9854.78 2917.06
"2011-08-19" 5040.8 9759.06 2916.1
"2011-08-18" 5092.2 9860.22 2941.61
"2011-08-17" 5331.6 10369.4 3004.35
"2011-08-16" 5357.6 10412.7 3017.61
"2011-08-15" 5350.6 10531.8 3020.51
"2011-08-12" 5320 10432 2989.89
"2011-08-11" 5162.8 10139.7 2944.03
"2011-08-10" 5007.2 9890.96 2895.86
"2011-08-09" 5164.9 10090.5 2887.75
"2011-08-08" 5069 9861.97 2886.41
"2011-08-05" 5247 10313.1 2969.91
"2011-08-04" 5393.1 10570.6 3069.28
"2011-08-03" 5584.5 10994.6 3151.57
"2011-08-02" 5718.4 11188.6 3226.54
"2011-08-01" 5774.4 11443 3263.85
"2011-07-29" 5815.2 11552.1 3261.87
"2011-07-28" 5873.2 11615.6 3272.53
"2011-07-27" 5856.6 11650.3 3280.19
"2011-07-26" 5929.7 11788.9 3291.23
"2011-07-25" 5925.3 11786.2 3278.9
"2011-07-22" 5935 11820.3 3283.27
"2011-07-21" 5899.9 11706.7 3254.41
"2011-07-20" 5853.8 11701.5 3258.69
"2011-07-19" 5790 11592.4 3261.6
"2011-07-18" 5752.8 11527.8 3237.05
"2011-07-15" 5843.7 11746.8 3275.09
"2011-07-14" 5847 11766.6 3267.58
"2011-07-13" 5906.4 11843.2 3281.75
"2011-07-12" 5869 11778 3275.42
"2011-07-11" 5929.2 11880.1 3302.55
"2011-07-08" 5990.6 12074.3 3324.57
"2011-07-07" 6054.5 12167.8 3339.98
"2011-07-06" 6002.9 12131.7 3324.14
"2011-07-05" 6024 12145.4 3316.75
"2011-07-04" 6017.5 12102.3 3311.38
"2011-07-01" 5989.8 12040.3 3299.58
"2011-06-30" 5945.7 11934 3272.86
"2011-06-29" 5856 11799.2 3246.21
"2011-06-28" 5766.9 11606.4 3226.46
"2011-06-27" 5722.3 11549.1 3226.91
"2011-06-24" 5697.7 11528.2 3239.41
"2011-06-23" 5674.4 11453.7 3221.38
"2011-06-22" 5773 11636.2 3254.07
"2011-06-21" 5775.3 11654.9 3249.14
"2011-06-20" 5693.4 11537.8 3228.52
"2011-06-17" 5714.9 11661.8 3254.17
"2011-06-16" 5698.8 11631.8 3255.21
"2011-06-15" 5742.5 11763.4 3283.13
"2011-06-14" 5803.1 11861.4 3288.55
"2011-06-13" 5773.5 11779.5 3271.07
"2011-06-10" 5765.8 11786 3273.13
"2011-06-09" 5856.3 11911.6 3286.05
"2011-06-08" 5808.9 11870.9 3274.58
"2011-06-07" 5864.6 12008.8 3285.56
"2011-06-06" 5863.2 11996.9 3275.1
"2011-06-03" 5855 11972.7 3287.09
"2011-06-02" 5847.9 11963 3280.26
"2011-06-01" 5928.6 12009.8 3302.28
"2011-05-31" 5990 12060.8 3293.12
"2011-05-27" 5938.9 11958.8 3271.65
"2011-05-26" 5881 11841 3251.14
"2011-05-25" 5870.1 11825.2 3231.77
"2011-05-24" 5858.4 11858.8 3242.29
"2011-05-23" 5835.9 11795.7 3223.03
"2011-05-20" 5948.5 11992.2 3269.82
"2011-05-19" 5956 11986.5 3266.12
"2011-05-18" 5923.5 11887.5 3259.39
"2011-05-17" 5861 11836 3242.41
"2011-05-16" 5923.7 11943.5 3272.37
"2011-05-13" 5925.9 11999.2 3281.72
"2011-05-12" 5945 11967.1 3273
"2011-05-11" 5976 12017.9 3281.47
"2011-05-10" 6018.9 12055.2 3299.04
"2011-05-09" 5942.7 11896.1 3270.84
"2011-05-06" 5976.8 11907.2 3276.32
"2011-05-05" 5920 11845.7 3270.65
"2011-05-04" 5984.1 11909.1 3291.76
"2011-05-03" 6082.9 12014.8 3315.01
"2011-04-28" 6069.9 12013.9 3311.47
"2011-04-27" 6068.2 11895 3281.24
"2011-04-26" 6069.4 11869.4 3271.62
"2011-04-21" 6018.3 11810.5 3265.61
"2011-04-20" 6022.3 11756.2 3270.41
"2011-04-19" 5896.9 11574.5 3240.15
"2011-04-18" 5870.1 11490.8 3238.35
"2011-04-15" 5996 11679.2 3276.91
"2011-04-14" 5963.8 11603.2 3267.89
"2011-04-13" 6010.4 11615.8 3260.74
"2011-04-12" 5964.5 11541.6 3254.27
"2011-04-11" 6053.4 11689.7 3285.23
"2011-04-08" 6055.8 11726.2 3278.88
"2011-04-07" 6007.4 11659.4 3271.77
"2011-04-06" 6041.1 11781.4 3275.97
"2011-04-05" 6007.1 11737.7 3252.96
"2011-04-04" 6017 11766.6 3260.44
"2011-04-01" 6009.9 11708.7 3249.88
"2011-03-31" 5908.8 11592 3222.5
"2011-03-30" 5948.3 11676.4 3260.42
