Date,Rm-Rf,SMB,HML,RF
1959-03-01,1.98,6.36,3.54,0.6212798778
1959-06-01,5.32,-1.99,1.95,0.6714911
1959-09-01,-3.21,-1.36,0.91,0.7518404725
1959-12-01,5.42,2.34,-5.76,0.902686652
1960-03-01,-7.51,2.04,-1.9,0.9731303495
1960-06-01,3.26,1.42,-6.51,0.7016182312
1960-09-01,-5.45,-1.2,4.0,0.4607013536
1960-12-01,8.84,-4.92,-1.39,0.5108464576
1961-03-01,13.15,9.15,1.65,0.530926532
1961-06-01,-0.41,-0.65,2.12,0.551006612
1961-09-01,3.21,-4.85,-1.15,0.4907964284
1961-12-01,7.04,-2.05,1.93,0.5309315415
1962-03-01,-2.79,0.8,5.42,0.64136096
1962-06-01,-21.84,-4.31,5.4,0.661449056
1962-09-01,2.91,-0.07,-3.26,0.7116723041
1962-12-01,12.47,-6.36,2.82,0.68153615
1963-03-01,5.63,0.72,6.67,0.7116803225
1963-06-01,4.25,-0.49,4.66,0.72172838
1963-09-01,3.06,-1.73,0.87,0.7920808225
1963-12-01,3.55,-3.76,1.36,0.8524092707
1964-03-01,5.41,0.88,7.81,0.872518418
1964-06-01,2.83,-2.72,1.92,0.852406262
1964-09-01,3.02,-0.47,3.0,0.862466352
1964-12-01,0.59,0.63,-3.53,0.8926416071
1965-03-01,2.6,8.06,2.06,0.942931024
1965-06-01,-3.25,-2.94,-0.39,0.9731343635
1965-09-01,7.21,4.62,0.8,0.9530101713
1965-12-01,3.61,10.47,2.52,0.9932665805
1966-03-01,-3.09,9.74,1.21,1.114109054
1966-06-01,-5.06,-0.5,-1.63,1.1342492972
1966-09-01,-10.44,-4.63,1.82,1.16448074
1966-12-01,5.48,-0.78,-2.73,1.2552072
1967-03-01,13.28,14.99,-0.51,1.1846350372
1967-06-01,1.72,8.75,-0.92,0.9228138512
1967-09-01,6.86,6.96,1.92,0.9429480752
1967-12-01,0.13,7.32,-5.81,1.0838836332
1968-03-01,-7.2,-0.43,5.06,1.174567928
1968-06-01,12.11,13.16,0.5,1.3157273205
1968-09-01,2.62,3.65,7.05,1.3358946688
1968-12-01,1.82,5.53,2.13,1.2955539464
1969-03-01,-4.39,-4.93,1.74,1.4570032148
1969-06-01,-5.76,-6.32,-0.47,1.5277079744
1969-09-01,-5.64,-1.58,-5.39,1.65905243
1969-12-01,-1.65,-2.88,-7.56,1.770307968
1970-03-01,-4.15,-1.49,10.83,1.800695204
1970-06-01,-21.82,-10.54,8.39,1.61863937
1970-09-01,16.57,11.14,-4.02,1.5984408824
1970-12-01,8.19,-5.9,3.1,1.3459888872
1971-03-01,10.54,12.96,-4.26,1.013387762
1971-06-01,-0.99,-2.88,-2.67,0.9429240044
1971-09-01,-1.69,-1.05,-0.64,1.245105956
1971-12-01,3.41,-1.78,-2.68,1.1141120653
1972-03-01,5.94,7.6,-3.17,0.8121849575
1972-06-01,-0.94,-2.6,-3.93,0.882583523
1972-09-01,1.35,-9.72,5.35,0.9429420566
1972-12-01,5.88,-5.93,3.83,1.144334476
1973-03-01,-8.56,-9.64,6.46,1.3157222984
1973-06-01,-8.98,-12.11,6.44,1.5479185252
1973-09-01,5.93,8.88,-2.22,2.033622464
1973-12-01,-13.15,-12.43,8.85,1.861407296
1974-03-01,-3.43,12.25,8.28,1.7804504624
1974-06-01,-12.47,-3.29,-0.47,2.11465875
1974-09-01,-26.79,0.22,11.16,2.12476402
1974-12-01,7.11,-9.69,-9.39,1.760123278
1975-03-01,23.31,17.0,6.79,1.4266452254
1975-06-01,15.0,4.64,-4.58,1.2955519376
1975-09-01,-13.24,-0.48,0.78,1.4974042112
1975-12-01,6.44,-6.37,4.13,1.4569630208
1976-03-01,15.28,12.0,16.02,1.214844392
1976-06-01,1.16,-2.76,-1.17,1.2249576822
1976-09-01,0.33,-2.01,2.55,1.3358986856
1976-12-01,3.5,5.63,3.63,1.21488656
1977-03-01,-7.18,6.96,5.66,1.093962788
1977-06-01,3.33,3.4,3.88,1.154411624
1977-09-01,-3.71,4.95,-3.59,1.2955539464
1977-12-01,-0.25,6.46,1.84,1.487313005
1978-03-01,-4.74,9.25,5.45,1.4873009462
1978-06-01,7.9,6.99,-3.6,1.5984388716
1978-09-01,7.63,5.14,0.39,1.7500994432
1978-12-01,-8.76,-6.79,-2.19,2.175561128
1979-03-01,6.26,7.47,2.82,2.3278165301
1979-06-01,1.58,3.68,3.86,2.449735136
1979-09-01,5.78,2.94,-0.49,2.3887602107
1979-12-01,-1.59,2.8,-7.16,2.8363648235
1980-03-01,-9.17,-7.06,0.99,2.927655152
1980-06-01,12.95,5.14,0.26,2.7028952566
1980-09-01,10.7,9.88,-14.5,1.93219244
1980-12-01,5.96,-1.23,-7.91,3.254260472
1981-03-01,-1.28,6.87,8.31,3.3567936488
1981-06-01,-4.11,5.38,7.36,3.62269267
1981-09-01,-15.42,-6.31,8.59,3.8073168128
1981-12-01,4.5,2.45,-1.04,3.1828956389
1982-03-01,-10.77,-0.86,12.57,2.724288128
1982-06-01,-3.75,1.58,0.84,3.1831169888
1982-09-01,9.08,-0.14,1.59,2.337251698
1982-12-01,17.18,7.69,-6.62,1.9019159039
1983-03-01,9.29,8.32,2.19,1.9525579514
1983-06-01,10.55,8.79,-5.17,2.0843118233
