DATE,PCEC,PCND,PCESV,PCNDSV
1959-01-01,309.9,126.1,140.1,266.2
1959-04-01,315.9,127.2,143.3,270.5
1959-07-01,321.1,128.2,146.6,274.8
1959-10-01,323.2,129.5,149.6,279.1
1960-01-01,326.7,129.6,151.7,281.3
1960-04-01,332.6,132.0,154.2,286.2
1960-07-01,332.5,131.6,155.0,286.6
1960-10-01,334.5,132.4,157.4,289.8
1961-01-01,335.0,133.4,159.3,292.7
1961-04-01,339.9,134.2,162.4,296.6
1961-07-01,342.8,134.6,163.7,298.3
1961-10-01,350.1,136.2,167.3,303.5
1962-01-01,355.4,137.8,169.8,307.6
1962-04-01,361.0,138.7,173.2,311.9
1962-07-01,364.9,140.0,175.4,315.4
1962-10-01,371.1,141.5,178.1,319.6
1963-01-01,374.7,142.5,179.7,322.2
1963-04-01,378.9,142.8,182.2,325.0
1963-07-01,385.8,145.2,186.0,331.2
1963-10-01,390.5,145.3,189.5,334.8
1964-01-01,400.1,148.7,193.5,342.2
1964-04-01,408.1,151.5,197.2,348.7
1964-07-01,417.0,154.9,200.7,355.6
1964-10-01,419.6,155.8,204.4,360.2
1965-01-01,430.3,157.8,207.6,365.4
1965-04-01,437.2,160.8,211.7,372.5
1965-07-01,446.4,164.1,215.7,379.8
1965-10-01,460.4,170.5,220.7,391.2
1966-01-01,470.8,174.1,224.4,398.5
1966-04-01,475.9,177.2,228.9,406.1
1966-07-01,485.0,179.8,232.9,412.7
1966-10-01,490.8,180.4,237.7,418.1
1967-01-01,495.1,182.4,241.6,424.0
1967-04-01,504.2,184.0,245.7,429.7
1967-07-01,511.4,185.8,251.0,436.8
1967-10-01,518.9,187.9,255.4,443.3
1968-01-01,536.9,193.5,262.5,456.0
1968-04-01,550.6,197.8,269.7,467.5
1968-07-01,566.7,202.8,276.3,479.1
1968-10-01,575.6,205.0,282.8,487.8
1969-01-01,587.8,208.8,289.0,497.8
1969-04-01,599.2,212.2,296.5,508.7
1969-07-01,609.5,216.0,302.9,518.9
1969-10-01,621.5,219.7,310.9,530.6
1970-01-01,632.6,224.5,318.5,543.0
1970-04-01,642.5,226.5,325.0,551.5
1970-07-01,654.5,229.7,332.8,562.5
1970-10-01,661.2,234.5,339.4,573.9
1971-01-01,680.2,235.8,346.3,582.1
1971-04-01,694.3,238.8,354.4,593.2
1971-07-01,706.7,240.4,362.8,603.2
1971-10-01,722.9,243.6,372.0,615.6
1972-01-01,740.1,247.0,382.4,629.4
1972-04-01,758.6,254.3,390.2,644.5
1972-07-01,777.1,260.1,399.4,659.5
1972-10-01,801.9,268.1,410.4,678.5
1973-01-01,826.5,275.5,419.2,694.7
1973-04-01,842.0,281.4,429.4,710.8
1973-07-01,860.5,289.9,439.8,729.7
1973-10-01,875.6,297.7,449.7,747.4
1974-01-01,893.8,308.9,458.3,767.2
1974-04-01,922.3,318.0,473.7,791.7
1974-07-01,951.1,327.7,487.1,814.8
1974-10-01,960.9,330.9,502.8,833.7
1975-01-01,987.1,336.2,519.1,855.3
1975-04-01,1015.8,344.8,534.3,879.1
1975-07-01,1049.6,356.0,546.8,902.8
1975-10-01,1078.5,359.7,565.5,925.2
1976-01-01,1112.3,367.4,581.6,949.0
1976-04-01,1132.0,373.1,593.0,966.1
1976-07-01,1161.3,380.6,610.9,991.5
1976-10-01,1195.1,389.6,630.0,1019.6
1977-01-01,1230.6,396.5,650.2,1046.7
1977-04-01,1258.5,403.7,665.6,1069.3
1977-07-01,1289.7,409.9,685.8,1095.7
1977-10-01,1327.9,423.6,703.6,1127.2
1978-01-01,1357.8,431.1,728.5,1159.6
1978-04-01,1415.3,444.8,754.3,1199.1
1978-07-01,1446.2,455.6,773.9,1229.5
1978-10-01,1485.4,469.4,793.7,1263.1
1979-01-01,1521.0,484.6,813.1,1297.7
1979-04-01,1561.5,500.1,839.4,1339.5
1979-07-01,1616.0,522.3,862.7,1385.0
1979-10-01,1659.5,539.4,891.0,1430.4
1980-01-01,1706.5,559.9,914.5,1474.4
1980-04-01,1708.9,565.9,931.1,1497.0
1980-07-01,1767.7,576.5,965.8,1542.3
1980-10-01,1835.4,591.3,1007.9,1599.2
1981-01-01,1890.7,614.0,1030.6,1644.6
1981-04-01,1921.9,622.8,1058.1,1680.9
1981-07-01,1961.2,629.1,1080.2,1709.3
1981-10-01,1976.1,635.7,1103.6,1739.3
1982-01-01,2014.4,639.9,1128.1,1768.0
1982-04-01,2041.1,638.7,1153.1,1791.8
1982-07-01,2089.2,649.7,1187.4,1837.1
1982-10-01,2150.9,656.7,1229.8,1886.5
1983-01-01,2190.6,657.0,1264.7,1921.7
1983-04-01,2254.5,673.0,1291.9,1964.9
1983-07-01,2324.3,688.4,1333.5,2021.9
1983-10-01,2376.7,696.5,1360.9,2057.4
1984-01-01,2422.8,706.5,1384.9,2091.4
1984-04-01,2481.2,722.4,1417.6,2140.0
1984-07-01,2519.7,724.6,1453.1,2177.7
1984-10-01,2568.9,732.8,1482.3,2215.1
1985-01-01,2643.9,742.4,1533.5,2275.9
1985-04-01,2691.2,752.8,1565.2,2318.0
1985-07-01,2764.7,760.5,1607.8,2368.3
1985-10-01,2790.9,773.3,1633.8,2407.1
1986-01-01,2834.7,779.3,1663.9,2443.2
1986-04-01,2863.0,767.5,1688.3,2455.8
1986-07-01,2929.7,771.0,1713.0,2484.0
