"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","7.3","43484391.8","n/a","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih",
"TURN","180 Degree Capital Corp.","1.6299","50725033.9038","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/turn",
"FCCY","1st Constitution Bancorp (NJ)","17.25","138471649.5","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","47.64","1235002209.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"ABIL","Ability Inc.","0.822","21171548.724","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/abil",
"ABM","ABM Industries Incorporated","42.01","2338933678.41","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"ANCX","Access National Corporation","28.55","579667408.85","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ACNB","ACNB Corporation","30.7","186258404.3","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"AEB","Aegon NV","24.92","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","26.38","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","5.02","10487655467.92","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","26.09","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","25.96","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek",
"AMG","Affiliated Managers Group, Inc.","154.55","8747913593.1","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","25.31","0","n/a","2012","Finance","Investment Managers","http://www.nasdaq.com/symbol/mgr",
"AFL","Aflac Incorporated","73.74","29263466661.72","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afl",
"AFSD","Aflac Incorporated","25.703","0","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afsd",
"AGFS","AgroFresh Solutions, Inc.","7.01","352468590.26","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.76","0","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfsw",
"ALEX","Alexander & Baldwin Holdings, Inc.","41.8","2054374319.8","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/alex",
"Y","Alleghany Corporation","568.93","8772076789.36","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/y",
